PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2011,0,9.31,3.97,40.59,9.58,128.95,245.28,279.85,179.16,6.8,0,2.65,906.15
PRECTOTCORR_SUM,2012,8.4,0.25,0.03,1.83,2.93,135.49,408.15,199.01,280.87,31.06,11.09,2.25,1081.36
PRECTOTCORR_SUM,2013,15.73,16.37,7.48,12.2,3.91,372.66,562.78,179.6,125.22,127.05,2.19,0.2,1425.41
PRECTOTCORR_SUM,2014,2.7,28.08,45.86,12.13,21.77,59.12,358.49,151.96,161.66,6.7,4.13,7.44,860.03
PRECTOTCORR_SUM,2015,22.44,17.12,38,52.19,24.6,339.72,120.51,381.59,163.79,9.6,0,0.02,1169.56
PRECTOTCORR_SUM,2016,0.63,10.63,19.3,4.43,21.92,191.14,518.07,167.13,189.63,54.04,0,0,1176.91
PRECTOTCORR_SUM,2017,0.14,0.17,7.47,0,28.47,185.53,283.42,193.29,131.62,53.39,0.71,0,884.21
PRECTOTCORR_SUM,2018,0,17.4,4.7,13.7,17.01,242.74,299.26,248.35,93.28,0,0.28,13.41,950.13
PRECTOTCORR_SUM,2019,15.08,2.23,3.03,6.19,0.64,108.77,325.81,283.05,252.95,61.35,5.07,9.23,1073.4
PRECTOTCORR_SUM,2020,24.36,6.38,43.79,11.25,31.55,181.05,362.72,288.35,151.76,47.84,5.39,0.28,1154.73